,favorite_count,id,retweet_count
0,37249,892420643555336193,7980
1,32028,892177421306343426,5926
2,24130,891815181378084864,3913
3,40572,891689557279858688,8135
4,38801,891327558926688256,8813
5,19495,891087950875897856,2932
6,11382,890971913173991426,1945
7,62849,890729181411237888,17776
8,26824,890609185150312448,4032
9,30724,890240255349198849,6944
10,29559,890006608113172480,6904
11,26810,889880896479866881,4700
12,46293,889665388333682689,9453
13,26102,889638837579907072,4236
14,14565,889531135344209921,2122
15,24309,889278841981685760,5046
16,28065,888917238123831296,4235
17,24638,888804989199671297,4012
18,19077,888554962724278272,3318
19,20957,888078434458587136,3273
20,29072,887705289381826560,5075
21,44605,887517139158093824,11047
22,66321,887473957103951883,16994
23,32428,887343217045368832,9842
24,29439,887101392804085760,5614
25,33791,886983233522544640,7237
26,11575,886736880519319552,3054
27,21604,886680336477933568,4196
28,20370,886366144734445568,3001
29,115,886267009285017600,4
30,26944,886258384151887873,5945
31,0,886054160059072513,104
32,31389,885984800019947520,6364
33,34658,885528943205470208,6049
34,19703,885518971528720385,3512
35,0,885311592912609280,17458
36,21097,885167619883638784,4125
37,74501,884925521741709313,17090
38,26868,884876753390489601,5276
39,23387,884562892145688576,4435
40,26035,884441805382717440,5356
41,70183,884247878851493888,19176
42,19617,884162670584377345,2812
43,21063,883838122936631299,3255
44,44221,883482846933004288,9335
45,21857,883360690899218434,3491
46,35784,883117836046086144,6274
47,23034,882992080364220416,3690
48,27233,882762694511734784,4617
49,26906,882627270321602560,5727
50,43259,882268110199369728,10918
51,28255,882045870035918850,4625
52,23416,881906580714921986,3209
53,48793,881666595344535552,10066
54,122,881633300179243008,7
55,47624,881536004380872706,15058
56,22321,881268444196462592,4939
57,16409,880935762899988482,2632
58,20507,880872448815771648,3606
59,27459,880465832366813184,5887
60,26025,880221127280381952,3973
61,26622,880095782870896641,4093
62,21533,879862464715927552,3295
63,302,879674319642796034,10
64,22617,879492040517615616,3004
65,102065,879415818425184262,41935
66,16208,879376492567855104,2943
67,0,879130579576475649,6438
68,21717,879050749262655488,4424
69,18286,879008229531029506,2544
70,18702,878776093423087618,3884
71,29124,878604707211726852,6745
72,0,878404777348136964,1223
73,0,878316110768087041,6314
74,7454,878281511006478336,1223
75,40558,878057613040115712,6438
76,76807,877736472329191424,18001
77,0,877611172832227328,77
78,21905,877556246731214848,3609
79,26420,877316821321428993,4896
80,26162,877201837425926144,5283
81,19985,876838120628539392,3159
82,22749,876537666061221889,4417
83,18114,876484053909872640,2258
84,26965,876120275196170240,4432
85,24297,875747767867523072,4050
86,21179,875144289856114688,4673
87,26491,875097192612077568,5758
88,24596,875021211251597312,4480
89,26881,874680097055178752,4401
90,0,874434818259525634,13853
91,25161,874296783580663808,3905
92,21939,874057562936811520,3762
93,33346,874012996292530176,9802
94,23401,873580283840344065,3740
95,0,873337748698140672,1512
96,6966,873213775632977920,1512
97,26394,872967104147763200,5144
98,14241,872820683541237760,3530
99,20085,872620804844003328,3489
100,39441,872486979161796608,8597
101,33306,872122724285648897,7742
102,36625,871879754684805121,10554
103,19633,871762521631449091,3326
104,19539,871515927908634625,3307
105,0,871166179821445120,5453
106,20305,871102520638267392,5267
107,22024,871032628920680449,3645
108,32648,870804317367881728,5924
109,118,870726314365509632,3
110,12030,870656317836468226,2532
111,80489,870374049280663552,25311
112,21267,870308999962521604,3983
113,35595,870063196459192321,7967
114,41323,869772420881756160,9678
115,27476,869702957897576449,6070
116,15557,869596645499047938,3012
117,19889,869227993411051520,3632
118,63802,868880397819494401,13889
119,0,868639477480148993,2003
120,26032,868622495443632128,5105
121,9851,868552278524837888,2003
122,23609,867900495410671616,4034
123,33127,867774946302451713,7084
124,15728,867421006826221569,2409
125,0,867072653475098625,118
126,31483,867051520902168576,7601
127,19583,866720684873056260,4634
128,18842,866686824827068416,3357
129,119590,866450705531457537,34084
130,51342,866334964761202691,13853
131,0,866094527597207552,8116
132,25098,865718153858494464,5444
133,25917,865359393868664832,4846
134,27437,865006731092295680,7444
135,31624,864873206498414592,8430
136,14301,864279568663928832,2931
137,29501,864197398364647424,8628
138,20213,863907417377173506,4010
139,15001,863553081350529029,4068
140,0,863471782782697472,2368
141,23378,863432100342583297,5092
142,2196,863427515083354112,94
143,8607,863079547188785154,1076
144,8334,863062471531167744,2368
145,18834,862831371563274240,5014
146,16775,862722525377298433,3445
147,20142,862457590147678208,4820
148,73255,862096992088072192,22615
149,35537,861383897657036800,10453
150,16919,861288531465048066,4041
151,16458,861005113778896900,3726
152,0,860981674716409858,2109
153,0,860924035999428608,791
154,7403,860563773140209665,2109
155,23301,860524505164394496,5173
156,18072,860276583193509888,3417
157,16443,860184849394610176,5734
158,0,860177593139703809,30314
159,19315,859924526012018688,4010
160,15215,859851578198683649,3447
161,18356,859607811541651456,1540
162,88934,859196978902773760,29605
163,33484,859074603037188101,13361
164,0,858860390427611136,7996
165,15381,858843525470990336,3432
166,21282,858471635011153920,4778
167,15572,858107933456039936,2869
168,15971,857989990357356544,2557
169,33942,857746408056729600,10481
170,5844,857393404942143489,1618
171,19863,857263160327368704,4457
172,227,857214891891077121,17
173,0,857062103051644929,170
174,18784,857029823797047296,3962
175,16169,856543823941562368,2853
176,11787,856526610513747968,1862
177,0,856330835276025856,657
178,511,856288084350160898,16
179,27586,856282028240666624,6228
180,342,855862651834028034,26
181,4977,855860136149123072,1001
182,11810,855857698524602368,2100
183,45392,855851453814013952,17796
184,26542,855818117272018944,5400
185,29823,855459453768019968,8170
186,0,855245323840757760,5939
187,0,855138241867124737,44
188,22807,854732716440526848,6045
189,29283,854482394044301312,6873
190,18892,854365224396361728,4679
191,32011,854120357044912130,7474
192,16220,854010172552949760,3157
193,28643,853760880890318849,5760
194,34906,853639147608842240,10108
195,15566,853299958564483072,3566
196,0,852936405516943360,2012
197,9110,852912242202992640,1833
198,14998,852672615818899456,2163
199,16433,852553447878664193,3516
200,33340,852311364735569921,9978
201,20138,852226086759018497,6879
202,11526,852189679701164033,1594
203,0,851861385021730816,20
204,16366,851591660324737024,3507
205,24446,851464819735769094,7118
206,20840,851224888060895234,5771
207,31205,850753642995093505,9268
208,13209,850380195714523136,2642
209,3487,850333567704068097,336
210,16503,850145622816686080,3842
211,20644,850019790995546112,4928
212,30840,849776966551130114,7692
213,0,849668094696017920,5020
214,16059,849412302885593088,3189
215,11548,849336543269576704,1931
216,42917,849051919805034497,8605
217,25518,848690551926992896,4383
218,25089,848324959059550208,4671
219,8293,848213670039564288,748
220,16554,848212111729840128,3103
221,0,847978865427394560,3310
222,0,847971574464610304,438
223,23862,847962785489326080,5172
224,5534,847842811428974592,1349
225,7097,847617282490613760,423
226,19068,847606175596138505,3468
227,20805,847251039262605312,4362
228,20248,847157206088847362,5969
229,21770,847116187444137987,3246
230,20408,846874817362120707,3984
231,45372,846514051647705089,11800
232,14342,846505985330044928,3130
233,32244,846153765933735936,9229
234,31476,846139713627017216,10138
235,16275,846042936437604353,2930
236,29808,845812042753855489,8885
237,25635,845677943972139009,4886
238,7775,845397057150107648,1846
239,23772,845306882940190720,5495
240,0,845098359547420673,7819
241,13889,844979544864018432,2608
242,15399,844973813909606400,3276
243,16805,844580511645339650,3199
244,13904,844223788422217728,2250
245,15451,843981021012017153,3001
246,21887,843856843873095681,4728
247,17235,843604394117681152,2810
248,21983,843235543001513987,6165
249,15570,842846295480000512,3711
250,6898,842765311967449089,1314
251,18483,842535590457499648,3595
252,25014,842163532590374912,5939
253,14314,842115215311396866,3113
254,0,841833993020538882,15589
255,26278,841680585030541313,7979
256,12935,841439858740625411,3778
257,20254,841320156043304961,5629
258,16195,841314665196081154,4799
259,23391,841077006473256960,5453
260,0,840761248237133825,1804
261,0,840728873075638272,16601
262,180,840698636975636481,2
263,12578,840696689258311684,1005
264,9196,840632337062862849,1804
265,16868,840370681858686976,4680
266,19754,840268004936019968,5878
267,13756,839990271299457024,2354
268,28169,839549326359670784,7996
269,0,839290600511926273,146
270,27899,839239871831150596,6717
271,20137,838952994649550848,4099
272,11460,838921590096166913,2120
273,0,838916489579200512,35
274,0,838831947270979586,11359
275,11205,838561493054533637,1370
276,23169,838476387338051585,4934
277,0,838201503651401729,10369
278,1721,838150277551247360,343
279,145,838085839343206401,1
280,18093,838083903487373313,3245
281,35088,837820167694528512,8116
282,3938,837482249356513284,453
283,13139,837471256429613056,2347
284,16484,837110210464448512,2451
285,13085,836989968035819520,2359
286,19823,836753516572119041,4786
287,12958,836677758902222849,2291
288,0,836648853927522308,566
289,0,836397794269200385,28497
290,15170,836380477523124226,3075
291,21888,836260088725786625,4432
292,19635,836001077879255040,4404
293,0,835685285446955009,8417
294,18303,835574547218894849,3733
295,0,835536468978302976,1761
296,0,835309094223372289,21756
297,16922,835297930240217089,3107
298,7953,835264098648616962,1761
299,2163,835246439529840640,73
300,26917,835172783151792128,5951
301,23128,835152434251116546,3129
302,11142,834931633769889797,1709
303,21879,834786237630337024,5665
304,14082,834574053763584002,2624
305,0,834477809192075265,11052
306,9906,834458053273591808,1742
307,21237,834209720923721728,4934
308,16260,834167344700198914,3777
309,10342,834089966724603904,2199
310,13455,834086379323871233,2284
311,13821,833863086058651648,2483
312,18551,833826103416520705,3885
313,0,833732339549220864,224
314,21386,833722901757046785,3332
315,15302,833479644947025920,2124
316,20812,833124694597443584,5020
317,13698,832998151111966721,2290
318,0,832769181346996225,39
319,17345,832757312314028032,3748
320,12247,832682457690300417,3040
321,3022,832645525019123713,545
322,16336,832636094638288896,2886
323,12309,832397543355072512,2295
324,17700,832369877331693569,3310
325,11667,832273440279240704,2419
326,0,832215909146226688,6446
327,0,832215726631055365,9734
328,67,832088576586297345,2
329,0,832040443403784192,10028
330,18417,832032802820481025,4844
331,24760,831939777352105988,6372
332,351,831926988323639298,34
333,28556,831911600680497154,6761
334,10785,831670449226514432,1884
335,7409,831650051525054464,2012
336,9274,831552930092285952,2388
337,9525,831322785565769729,1603
338,6738,831315979191906304,1162
339,12120,831309418084069378,2552
340,12292,831262627380748289,2125
341,8228,830956169170665475,1552
342,69120,830583320585068544,17458
343,0,830173239259324417,5928
344,10153,830097400375152640,3088
345,0,829878982036299777,5232
346,12641,829861396166877184,2034
347,32844,829501995190984704,11052
348,10820,829449946868879360,2108
349,25288,829141528400556032,7686
350,54872,829011960981237760,16985
351,0,828801551087042563,3544
352,26428,828770345708580865,6125
353,37859,828708714936930305,11693
354,9845,828650029636317184,1410
355,6540,828409743546925057,1207
356,7941,828408677031882754,1345
357,13074,828381636999917570,2311
358,7652,828376505180889089,1113
359,13001,828372645993398273,3066
360,2281,828361771580813312,177
361,12176,828046555563323392,2983
362,10717,828011680017821696,2240
363,20825,827933404142436356,5454
364,15999,827653905312006145,3134
365,7668,827600520311402496,980
366,16400,827324948884643840,3180
367,10949,827199976799354881,2339
368,22359,826958653328592898,5232
369,37741,826848821049180160,10644
370,0,826615380357632002,4152
371,5290,826598799820865537,264
372,10420,826598365270007810,2447
373,19099,826476773533745153,4405
374,13768,826240494070030336,2710
375,5051,826204788643753985,969
376,16223,826115272272650244,3276
377,10835,825876512159186944,1957
378,13200,825829644528148480,2595
379,54129,825535076884762624,18074
380,18990,825147591692263424,4759
381,0,825120256414846976,1337
382,6581,825026590719483904,1337
383,0,824796380199809024,5746
384,15506,824775126675836928,3680
385,10467,824663926340194305,1814
386,12255,824325613288833024,10958
387,15646,824297048279236611,4042
388,4977,824025158776213504,618
389,11046,823939628516474880,2838
390,0,823719002937630720,11730
391,14461,823699002998870016,2635
392,13534,823581115634085888,2758
393,726,823333489516937216,26
394,16343,823322678127919110,4212
395,0,823269594223824897,10355
396,17964,822975315408461824,3603
397,137216,822872901745569793,45473
398,13777,822859134160621569,2403
399,0,822647212903690241,6706
400,15368,822610361945911296,3096
401,18884,822489057087389700,6706
402,29419,822462944365645825,15171
403,36394,822244816520155136,10355
404,0,822163064745328640,5029
405,11792,821886076407029760,2435
406,0,821813639212650496,3508
407,8748,821765923262631936,1729
408,8354,821522889702862852,1852
409,0,821421320206483457,5865
410,12254,821407182352777218,4546
411,265,821153421864615936,10
412,9046,821149554670182400,2107
413,9979,821107785811234820,2237
414,13170,821044531881721856,2402
415,0,820837357901512704,7060
416,32812,820749716845686786,10369
417,12702,820690176645140481,3390
418,0,820494788566847489,592
419,0,820446719150292993,2694
420,3474,820314633777061888,592
421,20639,820078625395449857,6573
422,0,820013781606658049,1239
423,5544,819952236453363712,1239
424,13425,819924195358416896,5111
425,13998,819711362133872643,3266
426,9994,819588359383371776,2075
427,7519,819347104292290561,1264
428,2382,819238181065359361,427
429,24066,819227688460238848,7060
430,0,819015337530290176,38658
431,0,819015331746349057,19869
432,47123,819006400881917954,19869
433,90488,819004803107983360,38658
434,0,818646164899774465,22030
435,23303,818627210458333184,7914
436,10264,818614493328580609,2708
437,0,818588835076603904,6468
438,11373,818536468981415936,2601
439,0,818307523543449600,8527
440,11497,818259473185828864,2401
441,12797,818145370475810820,2713
442,5056,817908911860748288,837
443,54014,817827839487737858,28497
444,11179,817777686764523521,2835
445,12295,817536400337801217,3140
446,0,817502432452313088,3577
447,35513,817423860136083457,15589
448,5845,817415592588222464,1005
449,0,817181837579653120,8922
450,9110,817171292965273600,2127
451,12728,817120970343411712,2740
452,8963,817056546584727552,1728
453,0,816829038950027264,4967
454,10460,816816676327063552,2152
455,10216,816697700272001025,2306
456,31896,816450570814898180,8527
457,8982,816336735214911488,2049
458,9325,816091915477250048,2260
459,0,816062466425819140,1088
460,0,816014286006976512,5558
461,5192,815990720817401858,1088
462,23399,815966073409433600,8922
463,0,815745968457060357,4365
464,10275,815736392542261248,2386
465,8590,815639385530101762,1731
466,10829,815390420867969024,4004
467,7996,814986499976527872,1355
468,11782,814638523311648768,2858
469,0,814578408554463233,6139
470,9032,814530161257443328,1954
471,30113,814153002265309185,9154
472,0,813944609378369540,3361
473,9726,813910438903693312,1972
474,38059,813812741911748608,14738
475,8726,813800681631023104,1860
476,19515,813217897535406080,7701
477,9624,813202720496779264,1896
478,20771,813187593374461952,4609
479,9732,813172488309972993,2020
480,8113,813157409116065792,2332
481,8843,813142292504645637,2501
482,4672,813130366689148928,474
483,12402,813127251579564032,3302
484,10775,813112105746448384,2908
485,11012,813096984823349248,3813
486,10336,813081950185472002,2925
487,8337,813066809284972545,2061
488,21924,813051746834595840,7763
